r_R,chord_baseline,twist_baseline_deg,a_baseline,alpha_baseline_deg,fnorm_baseline,chord_optimized,twist_optimized_deg,a_optimized,alpha_optimized_deg,fnorm_optimized
0.6849999999999999,1.944999999999999,-2.4099999999999975,0.22684978874284678,5.5781779913089595,2507.4746465113817,1.9502866154315108,-0.18504371862667107,0.2980050048697291,7.0687128912377775,2996.1522770904803
0.695,1.9149999999999987,-2.2699999999999987,0.2273852198944449,5.600453719100265,2547.0116198513683,1.9132563565544138,-0.02684552479378499,0.2983712254693215,7.121216252112474,3041.160846573496
0.705,1.884999999999999,-2.1299999999999977,0.2279374113024134,5.625786091250072,2586.503382818933,1.8761502662432952,0.13149048583770073,0.29865805787992444,7.1775480622352905,3085.540655868093
0.715,1.8549999999999986,-1.989999999999997,0.228504876853015,5.654067372295655,2625.8903281912144,1.8389683444981548,0.28996431326778604,0.2987585461761123,7.238621113745302,3128.5770452321804
0.725,1.8249999999999986,-1.8499999999999965,0.22908680963715894,5.6851887399224825,2665.107388575056,1.8017105913189932,0.44857595749647095,0.29873310241660167,7.303659376677775,3170.5411959932117
0.735,1.7949999999999984,-1.709999999999996,0.22968322791948348,5.719038967024915,2704.083577936489,1.7643770067058102,0.6073254185237554,0.29859867513231836,7.372348028829349,3211.438931194904
0.745,1.7649999999999986,-1.569999999999997,0.23029515313303603,5.755502900811411,2742.7414556130484,1.7269675906586053,0.7662126963496395,0.2983502444910048,7.444598126851263,3251.1253827779574
0.755,1.7349999999999988,-1.4299999999999964,0.23092482692955282,5.794459691453956,2780.99649771163,1.689482343177379,0.9252377909741232,0.29798437388199195,7.520310276358396,3289.443463866607
0.765,1.7049999999999985,-1.2899999999999956,0.2315759762361524,5.835780709793194,2818.7563568087457,1.6519212642621313,1.0844007023972064,0.2974996142821541,7.599371562969476,3326.222745435827
0.775,1.6749999999999987,-1.149999999999995,0.2322541378531898,5.879327076021718,2855.919985431168,1.6142843539128622,1.2437014306188894,0.2968969820101688,7.681652042865027,3361.2782348247433
0.785,1.6449999999999982,-1.0099999999999962,0.2329670576669049,5.924946697009531,2892.376591227044,1.5765716121295714,1.4031399756391718,0.2961861950252812,7.7669501285473626,3394.4483180832544
0.795,1.6149999999999984,-0.8699999999999954,0.23372518448745488,5.9724706758666795,2928.004381005486,1.538783038912259,1.562716337458054,0.2953727521398338,7.855110720551933,3425.5015104372815
0.805,1.5849999999999982,-0.7299999999999949,0.23454228554133894,6.021708908615109,2962.6690353205836,1.5009186342609253,1.7224305160755358,0.2944654704288531,7.945956745230154,3454.1780362899653
0.8150000000000001,1.5549999999999984,-0.5899999999999942,0.23543622081829915,6.072444611878796,2996.2218324786786,1.4629783981755702,1.8822825114916168,0.2934818919268251,8.039243878573442,3480.2201030865704
0.8250000000000001,1.5249999999999981,-0.4499999999999935,0.23642992850480568,6.124427420209187,3028.497306720343,1.4249623306561932,2.042272323706298,0.29244607699627323,8.134683151833435,3503.347524326102
0.8350000000000001,1.494999999999998,-0.3099999999999946,0.23756464013687878,6.177263534255756,3059.4234710174583,1.386870431702795,2.202399952719578,0.2913374923966249,8.232378009145016,3522.8494083895594
0.8450000000000001,1.4649999999999979,-0.16999999999999393,0.23889816320745705,6.230438286910695,3088.9912474799025,1.348702701315375,2.3626653985314583,0.2899847956610472,8.333693984106981,3536.67581417677
0.8550000000000001,1.434999999999998,-0.02999999999999327,0.24044555632378534,6.28381311433106,3116.657604699713,1.3104591394939338,2.523068661141938,0.2887164284387288,8.435782979539658,3546.5465091385
0.8650000000000001,1.4049999999999978,0.1100000000000074,0.24226727046483373,6.336884066710697,3142.1443003093145,1.2721397462384711,2.683609740551017,0.28760268741130574,8.538045305695398,3552.0915605751443
0.8750000000000001,1.374999999999998,0.25000000000000805,0.24444125304431957,6.389027342484213,3165.126479334333,1.2337445215489864,2.844288636758696,0.2867323531255006,8.639757730864098,3552.906771314989
0.8850000000000001,1.3449999999999975,0.39000000000000695,0.24706905421025044,6.43945679269892,3185.2182842271536,1.1952734654254806,3.0051053497649747,0.28618854712607555,8.74027471741075,3548.2859381454555
